,jia,jin,zhuan,char
5229,0,0,1,鲛
5230,0,1,1,辂
5231,0,0,1,谧
5232,0,6,1,爽
5233,0,0,1,斠
5234,0,0,1,铨
5235,0,0,1,舀
5236,0,0,1,蟊
5237,0,0,1,骋
5238,1,0,1,编
5239,12,32,1,蔑
5240,0,0,1,蛸
5241,0,0,1,恂
5242,1,3,1,奴
5243,0,2,1,边
5244,0,8,1,割
5245,0,3,1,辨
5246,0,0,1,昴
5247,0,0,1,颦
5248,0,0,1,龁
5249,1,0,0,酓
5250,0,0,1,邘
5251,0,0,1,姐
5252,0,2,1,过
5253,0,2,1,壮
5254,0,0,1,蜃
5255,14,22,1,壬
5256,0,0,1,婢
5257,0,0,1,蜥
5258,0,0,1,庋
5259,0,0,1,朦
5260,0,0,1,娓
5261,0,0,1,浑
5262,1,2,1,蒿
5263,6,13,1,盟
5264,0,13,1,共
5265,0,0,1,葛
5266,1,4,1,解
5267,0,0,1,诎
5268,20,47,1,鱼
5269,0,1,1,奋
5270,0,0,1,诚
5271,0,0,1,丏
5272,0,0,1,笞
5273,0,0,1,陂
5274,0,0,1,琼
5275,0,0,1,旌
5276,1,0,1,咎
5277,0,0,1,伟
5278,0,0,1,意
5279,0,0,1,嶅
5280,0,0,1,焌
5281,0,0,1,蹶
5282,2,0,1,柰
5283,0,0,1,预
5284,0,0,1,绨
5285,37,52,0,以
5286,0,0,1,雱
5287,0,0,1,势
5288,0,0,1,佞
5289,0,0,1,鸷
5290,1,1,1,直
5291,0,0,1,柜
5292,0,0,1,蓝
5293,32,25,1,立
5294,1,0,0,潾
5295,0,0,1,绷
5296,0,0,1,梿
5297,0,0,1,踞
5298,1,0,0,汫
5299,0,0,1,鲿
5300,0,31,1,姞
5301,0,1,1,裕
5302,0,0,1,鄄
5303,0,0,1,荥
5304,0,0,1,决
5305,1,4,1,并
5306,6,0,0,冏
5307,1,1,1,戚
5308,0,0,1,剀
5309,0,0,1,轰
5310,0,0,1,锑
5311,70,19,1,见
5312,0,3,1,毳
5313,0,0,1,昉
5314,0,0,1,㬎
